date,state,positive,negative,pending,hospitalized,death,total,dateChecked,totalTestResults,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200318,AR,33,236,50,null,null,319,2020-03-18 20:00:00,269,5,0,0,39,11,50
20200315,SC,19,154,null,null,null,173,2020-03-15 20:00:00,173,45,0,0,44,6,50
20200314,CA,252,916,null,null,5,1168,2020-03-14 20:00:00,1168,6,1,0,0,50,50
20200311,TN,7,50,null,null,null,57,2020-03-11 20:00:00,57,47,0,0,50,0,50
20200307,FL,14,100,88,null,null,202,2020-03-07 21:00:00,114,12,0,0,45,5,50
20200328,DE,214,36,null,31,3,250,2020-03-28 20:00:00,250,10,1,16,0,51,51
20200318,MO,13,253,null,null,0,266,2020-03-18 20:00:00,266,29,0,0,46,5,51
20200318,ND,6,268,null,null,0,274,2020-03-18 20:00:00,274,38,0,0,48,3,51
20200310,MA,92,null,null,null,null,92,2020-03-10 20:00:00,92,25,0,0,0,51,51
20200314,MT,5,103,null,null,null,108,2020-03-14 20:00:00,108,30,0,0,48,4,52
20200310,MN,3,132,null,null,null,135,2020-03-10 20:00:00,135,27,0,0,52,1,53
20200330,OK,481,1207,null,153,17,1688,2020-03-30 20:00:00,1688,40,1,13,2,52,54
20200328,VI,22,106,55,null,0,183,2020-03-28 20:00:00,128,78,0,0,51,3,54
20200324,AK,36,986,null,0,null,1022,2020-03-24 20:00:00,1022,2,0,0,40,14,54
20200322,MD,244,94,null,null,3,338,2020-03-22 20:00:00,338,24,1,0,0,54,54
20200313,KS,6,93,null,null,null,99,2020-03-13 20:00:00,99,20,0,0,52,2,54
20200313,KY,11,107,null,null,null,118,2020-03-13 20:00:00,118,21,0,0,51,3,54
20200325,VI,17,55,2,null,0,74,2020-03-25 20:00:00,72,78,0,0,55,0,55
20200316,LA,114,188,null,null,2,302,2020-03-16 20:00:00,302,22,0,0,32,23,55
20200322,SD,21,740,277,null,1,1038,2020-03-22 20:00:00,761,46,0,0,49,7,56
20200322,WV,12,385,1,1,0,398,2020-03-22 20:00:00,397,54,0,0,55,1,56
20200319,TN,154,349,null,null,null,503,2020-03-19 20:00:00,503,47,0,0,0,56,56
20200319,VT,22,645,null,null,null,667,2020-03-19 20:00:00,667,50,0,0,53,3,56
20200313,MI,16,133,26,null,null,175,2020-03-13 20:00:00,149,26,0,0,42,14,56
20200320,AZ,65,211,101,null,0,377,2020-03-20 20:00:00,276,4,0,0,36,21,57
20200316,OK,10,174,29,null,null,213,2020-03-16 20:00:00,184,40,0,0,56,1,57
20200313,RI,14,142,29,null,null,185,2020-03-13 20:00:00,156,44,0,0,48,9,57
20200317,SD,11,551,35,null,null,597,2020-03-17 20:00:00,562,46,0,0,57,1,58
20200312,NH,6,94,21,null,null,121,2020-03-12 20:00:00,100,33,0,0,56,2,58
20200331,AK,119,3594,null,7,3,3713,2020-03-31 20:00:00,3713,2,0,0,54,5,59
20200314,NC,23,137,null,null,null,160,2020-03-14 20:00:00,160,37,0,0,51,8,59
20200321,MS,140,695,null,null,1,835,2020-03-21 20:00:00,835,28,0,0,0,60,60
20200325,PR,51,317,70,null,2,438,2020-03-25 20:00:00,368,72,0,0,49,12,61
20200324,MD,349,94,null,null,3,443,2020-03-24 20:00:00,443,24,0,0,0,61,61
20200320,WY,19,331,null,null,null,350,2020-03-20 20:00:00,350,56,0,0,60,1,61
20200317,KY,22,295,null,null,1,317,2020-03-17 20:00:00,317,21,0,0,61,1,62
20200314,RI,20,198,57,null,null,275,2020-03-14 20:00:00,218,44,0,0,56,6,62
20200313,OR,30,337,157,null,null,524,2020-03-13 20:00:00,367,41,0,0,51,11,62
20200323,WV,16,444,4,1,0,464,2020-03-23 20:00:00,460,54,0,0,59,4,63
20200318,KY,26,354,null,null,1,380,2020-03-18 20:00:00,380,21,0,0,59,4,63
20200312,CO,45,298,null,null,null,343,2020-03-12 20:00:00,343,8,0,0,47,17,64
